Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;KernNeg_Ab_Bulbus;KernNeg_Ab;KernNeg_Kl_Bulbus;KernNeg_Kl;Klopfspur_Lage;Narben_Lage;Narben_Orient;Kern_Schlagfl;Kern_SchlagflArt;Kern_Abbaufl;Kern_Abbauricht;Kern_SchlagflLänge;Kern_SchlagflBreite;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;0285;021;001;01;11;;16;2;3;4;5;3;7;2;9;57;44;36;117,4;0;9;NA;NA;NA;NA;5; ; ;6;4;9;5;   ;   ;  ;  ;  ;  ;  ;  ;0; ; ;29
AE;0340;029;001;01;11;;16;4;8;4;5;2;0;0;1;43;35;23;41;0;3;1;1;0;0;0;0;0;2;2;9;5;37 ;20 ;31;  ;  ;  ;  ;  ; ; ; ;23
AE;1253;020;001;01;05;06;02;2;7;0;1;2;0;0;2;82;53;45;284;3;3;99;5;0;9;4;0;0;1;1;4;2;45 ;35 ;15;  ;  ;  ;  ;  ; ; ; ;19
AE;1308;031;001;01;06;05;02;1;7;0;0;0;0;0;1;71;49;40;150,2;0;3;2;6;0;0;0;0;0;2;2;9;4;52 ;33 ;  ;  ;  ;  ;  ;  ; ; ; ;23
AE;1317;009;011;01;05;06;02;2;3;0;0;0;0;0;1;43;37;24;41,6;0;3;1;2;0;0;0;0;0;3;2;9;3;43 ;39 ;  ;  ;  ;  ;  ;  ; ; ; ;23
AE;1801;026;004;01;05;06;02;3;3;0;0;0;0;0;6;45;28;26;39;3;3;99;4;0;0;4;0;0;1;2;9;5;35 ;21 ;15;  ;  ;  ;  ;  ; ; ; ;19
AE;2569;011;006;01;06;05;03;2;6;0;5;2;0;0;9;48;46;39;107,9;3;3;3;1;0;0;4;0;0;6;4;9;5;999;999;15;  ;  ;  ;  ;  ; ; ; ;19
AE;4222;013;001;01;06;05;03;1;2;0;0;0;0;0;1;29;20;20;12,9;0;3;99;99;0;0;0;0;0;1;2;2;1;28 ;21 ;  ;  ;  ;  ;  ;  ; ; ; ;23
AE;4658;053;006;01;05;06;02;2;2;0;1;2;0;0;9;28;27;16;14,9;3;3;99;2;0;0;4;0;0;0;0;9;4;999;999;09;16;  ;  ;  ;  ; ; ; ;11
AE;4740;130;004;01;05;06;02;2;3;3;0;2;0;0;9;50;40;32;93,8;3;3;1;4;0;0;4;0;0;2;2;1;2;45 ;37 ;15;  ;  ;  ;  ;  ; ; ; ;19
AE;5960;032;006;01;11;;16;4;8;0;5;3;7;2;9;30;29;17;17;0;3;99;1;0;0;5;8;1;1;4;9;1;999;999;  ;  ;  ;  ;  ;  ; ; ; ;23
