Siedlungsnr;Stelle;Positionsnr;Individualnr;Formblattnr;Rohmat1;Rohmat2;Rohmat_Farbe;Oberfl_art_Spaltfl;Strukturen_Material;Rinde;Nat_Fl;Nat_Fl_Abroll;Therm_Art;Therm_Zeit;Erhaltung_Rechteck;Länge;Breite;Dicke;Gewicht;Mod_Erhaltung;Grundform;Erhaltung_Schlagr;Schlagr_Verlauf;Schlagflrest_Länge;Schlagflrest_Breite;Schlagflrest_Erhaltung;Schlagflrest_Art;Schlagflrest_Schlagaugen;Rinde_natSprungfl;Negat_Bulbusnegat_Dorsal;Negat_Dorsal;Dorsalflpräp;Präpgrat_Verlauf;Distal_Zustand;Schlagm_Ventral;Dorsalflneg_Abbaur;Mod_Art_1;Mod_Art_2;Mod_Art_3;Mod_Art_4;Mod_Art_5;Mod_Art_6;Mod_Reihe_1;Mod_Reihe_2;Mod_Reihe_3;igerm1
AE;0015;045;002;01;05;06;02;2;3;0;0;0;0;0;2;17;16;5;1,6;3;2;4;2;999;999;0;0;0;0;0;0;0;0;0;0;0;12;04;  ;  ;  ;  ;2; ; ;04
AE;0030;013;001;01;06;05;03;1;7;0;0;0;0;0;2;33;12;3;1,2;0;2;4;3;999;999;0;0;0;0;0;2;0;0;0;0;0;31;  ;  ;  ;  ;  ; ; ; ;22
AE;0085;007;001;01;05;06;02;2;2;0;0;0;0;0;2;23;20;5;2;0;2;2;3;7;4;1;4;2;0;0;1;0;0;0;5;0;31;  ;  ;  ;  ;  ; ; ; ;22
AE;0097;019;001;01;06;;02;2;3;2;2;1;0;0;1;44;29;9;15,7;0;1;1;3;24;7;1;2;1;1;1;0;0;0;1;4;1;31;  ;  ;  ;  ;  ;0; ; ;21
AE;0097;025;001;01;06;;02;2;0;2;3;1;0;0;3;48;35;14;21,9;0;1;3;7;999;999;0;0;0;2;1;0;0;0;1;0;8;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0112;013;001;01;06;05;02;2;7;0;1;2;0;0;1;34;31;6;5,1;0;1;1;5;10;5;1;4;2;2;99;99;0;0;1;1;0;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0112;013;002;01;06;05;15;1;7;0;1;2;0;0;3;51;40;12;18,4;0;1;2;5;17;7;1;2;2;1;99;1;0;0;0;1;8;  ;  ;  ;  ;  ;  ;0; ; ;21
AE;0115;010;001;01;05;06;02;2;7;0;0;0;0;0;6;39;25;8;7,9;1;1;6;3;15;5;1;3;2;0;2;99;8;6;0;9;1;31;04;31;31;  ;  ;2; ; ;08
AE;0121;013;001;01;06;05;04;2;2;0;0;0;0;0;6;25;15;4;1,5;0;2;7;7;999;999;0;0;0;0;98;98;0;0;1;0;0;  ;  ;  ;  ;  ;  ;0; ; ;22
AE;0134;021;001;01;06;;07;2;3;4;1;1;0;0;1;37;17;4;2,7;0;1;1;5;14;4;1;2;2;1;1;99;1;3;1;9;1;  ;  ;  ;  ;  ;  ;0; ; ;21
