"FBG_1","FBG_2","FBG_3","FBG_4","FB1_31","FB1_33","FB1_16","IGerM","FB7_19","FB7_20","FB7_21","FB7_22","FB7_23","FB7_24","FB7_25","FB7_26","FB7_27","FB7_38","FB7_39","FB2_36","FB2_37","Kommentar"
"LA56",2011,"H2",150,6,1,9,2,1,0,0,1,0,0,0,0,0,1,0.9,21.4,11.8,"Bohrer"
"LA56",2011,304,30375,5,1,9,2,1,0,0,1,0,0,0,0,0,1,6.9,43.1,21.6,"Bohrer"
"LA56",2011,308,30421,5,3,9,2,1,0,0,0,1,0,0,0,0,1,15.4,46.5,31.9,"Bohrer"
"LA56",2011,301,30424,6,3,9,2,1,0,0,1,0,0,0,0,0,1,3.6,25.4,18,"Bohrer"
"LA56",2011,"H2",40639,4,3,9,2,1,0,0,0,1,0,0,0,0,1,34.3,62,38.5,"Bohrer"
"LA56",2011,"H2",14,6,1,9,8,1,0,0,1,0,0,0,0,0,1,4.8,29.2,23,"Kratzer"
"LA56",2011,"H2",144,5,1,9,8,1,0,0,1,0,0,0,0,0,1,6.8,33.2,45.9,"Kratzer"
"LA56",2011,"H2",149,5,1,9,8,1,0,0,1,0,0,0,0,0,1,14.2,35.9,25.5,"Kratzer"
"LA56",2011,101,10151,5,1,9,8,1,0,0,1,0,0,0,0,0,1,7.3,24.8,30.8,"Kratzer"
"LA56",2011,105,10714,6,1,9,8,1,0,0,0,1,0,0,0,0,1,3.5,21.2,22.3,"Kratzer"
"LA56",2011,203,20707,6,1,9,8,1,0,0,1,0,0,0,0,0,1,3,22.4,15.1,"Kratzer"
"LA56",2011,202,20909,6,1,9,8,1,0,0,1,0,0,0,0,0,1,2.2,21.8,18.6,"Daumennagelkratzer"
"LA56",2011,202,21000,4,1,9,8,1,0,0,0,0,1,0,0,0,1,12.4,39.1,31.3,"Kratzer"
"LA56",2011,202,21007,7,1,9,8,1,0,0,1,0,0,0,0,0,1,1.3,15.2,11.8,"Kratzer"
"LA56",2011,"PlaPu",30283,5,1,9,8,1,0,0,0,0,1,0,0,0,1,11.7,30,27.2,"Kratzer"
"LA56",2011,302,30429,6,1,9,8,1,0,0,1,0,0,0,0,0,1,1.7,17,15.9,"Daumennagelkratzer aus SED 30276"
"LA56",2011,301,30501,5,1,9,8,1,0,0,0,0,1,0,0,0,1,5.3,37.1,19.5,"Kratzer"
"LA56",2011,"H3",40110,4,1,9,8,1,0,0,0,1,0,0,0,0,1,27.9,49.5,38.6,"Kratzer"
"LA56",2011,"H3",40349,4,1,9,8,1,0,0,1,0,0,0,0,0,1,36.9,52.2,51.7,"Kratzer"
"LA56",2011,401,40473,6,1,9,8,1,0,0,0,1,0,0,0,0,1,1.8,23.9,15.7,"Kratzer"
"LA56",2011,"PlaPu",40498,4,1,9,8,1,0,0,1,0,0,0,0,0,1,16.5,39.2,30.8,"Kratzer"
"LA56",2011,"H2",40649,5,1,9,8,1,0,0,1,0,0,0,0,0,1,5,30,19.3,"Kratzer"
"LA56",2011,404,40932,5,1,9,8,1,0,0,1,0,0,0,0,0,1,4.2,41.4,25.9,"Kratzerbruchstück"
"LA56",2011,405,40960,5,1,9,8,1,0,0,1,0,0,0,0,0,1,9.2,38.6,31.7,"Kratzer"
"LA56",2011,405,40960,5,1,9,8,1,0,0,0,1,0,0,0,0,1,10.2,36.8,29.9,"Kratzer"
"LA56",2011,407,41010,4,1,9,8,1,0,0,0,1,0,0,0,0,1,44.7,62.9,40.9,"Kratzer"
"LA56",2011,404,41063,4,1,9,8,1,0,0,0,0,1,0,0,0,1,49.6,61.3,51.5,"Kratzer"
"LA56",2011,407,41131,5,1,9,8,1,0,0,0,1,0,0,0,0,1,6.4,37.1,25.1,"Kratzer"
"LA56",2011,105,"10398_1",7,1,9,8,1,0,0,1,0,0,0,0,0,1,0.9,16.7,12.3,"Daumennagelkratzer"
"LA56",2011,105,"10398_2",7,1,9,8,1,0,0,1,0,0,0,0,0,1,0.7,14.3,13.1,"Daumennagelkratzer"
"LA56",2011,"H2","14_3",4,1,9,8,1,0,0,1,0,0,0,0,0,1,44.1,52.1,42.6,"Kratzer"
"LA56",2011,"ProPu N","21020_1",6,1,9,8,1,0,0,1,0,0,0,0,0,1,1.8,17.4,12.4,"Daumennagelkratzer"
"LA56",2011,"ProPu N","21020_2",6,1,9,8,1,0,0,1,0,0,0,0,0,1,3.4,20.9,19.5,"Daumennagelkratzer"
