"FBG_1","FBG_2","FBG_3","FBG_4","FBG_6","FB4_7","FB4_8","FB4_9","FB4_10","FB4_11","FB4_12","FB4_13","FB4_15","Kommentar"
"LA56",2011,"H2",13,4,"V331",7,,24,"11000031300006",,,,
"LA56",2011,"H2",16,4,"Ty4a",8,,12,"36000023600002",,,2,
"LA56",2011,"H2",17,4,"Ty6a",9,,999,"360000136000013600001",,,2,"nach Kühn 1979 (siehe Blatt Mischka Habil)"
"LA56",2011,,10031,4,"Ty08","F",,999,"120000236000022100003",,,2,
"LA56",2011,,10157,4,"V472",8,,24,"11000031600004",,,,
"LA56",2011,104,10940,4,"V272",7,,24,"22000012100003",,25000000,,
"LA56",2011,104,11042,4,"D312",8,,24,"11000011100001",,25450000,,
"LA56",2011,"PlaPu",20683,4,"V212",8,,24,"21000011100001",,25240000,,
"LA56",2011,,40027,4,"V322",8,,24,"16000031100001",,21000000,,
"LA56",2011,"H3",40233,4,,9,,12,,,,5,
"LA56",2011,"H3",40338,4,"V332",8,,24,"51000031100004",,,,
"LA56",2011,"H3",40350,4,"V192",8,,24,"11000031200003",,21232500,,
"LA56",2011,"H2",40446,4,"Ty08",9,,999,"360000436000013600003",,,4,
"LA56",2011,403,40573,4,"V292",9,,24,"11000031100003",,,,
"LA56",2011,403,40576,4,"Ty4b",9,,999,"26000012600006",,,1,
"LA56",2011,"H2",40580,4,"V212",8,,24,"1200001",,,,
"LA56",2011,"H2",40812,4,"V272",7,,24,"11000045500003",,,,"zur Schneide hin leicht konkav"
"LA56",2011,"H3",40993,4,"V492",8,,24,"11000031100003",,25210000,,
