"FBG_1","FBG_3","FBG_4","FBG_5","FBG_6","FB1_17","FB1_18","FB1_19","FB1_20","FB1_21","FB1_22","FB1_24","FB1_25","FB1_26","FB1_27","FB1_28","FB1_29","FB1_30","FB1_32","FB1_33","FB2_35","FB2_38","FB2_45","FB2_46","FB2_44","FB2_42","FB2_52","FB1_23","FB2_54","FB2_55","FB2_56","FB2_57","FB2_53","FB2_58","IGerM","FB1_16","FB2_43","FB2_49","FB2_51","FB2_59","FB2_60"
"AE","15","45","2","1","2",2,13,0,0,0,0,0,2,17,16,5,1.6,3,2,4,2,999,999,0,0,1,1,0,0,0,0,"0",0,"4","0506",999,1,1,"1204","2"
"AE","30","13","1","1","3",1,17,0,0,0,0,0,2,33,12,3,1.2,0,2,4,3,999,999,0,0,1,1,0,2,0,0,"0",0,"22","0605",999,1,1,"31","0"
"AE","85","7","1","1","2",2,12,0,0,0,0,0,2,23,20,5,2,0,2,2,3,7,4,1,5,0,1,0,1,0,0,"0",0,"22","0506",999,9,4,"31","0"
"AE","97","19","1","1","2",2,13,2,2,1,0,0,1,44,29,9,15.7,0,1,1,3,24,7,1,1,4,1,1,0,0,0,"3",1,"21","06",999,4,4,"31","0"
"AE","97","25","1","1","2",2,0,2,3,1,0,0,3,48,35,14,21.9,0,1,3,0,999,999,0,0,1,2,1,0,0,0,"3",9,"21","06",999,1,1,"","0"
"AE","112","13","1","1","2",2,17,0,1,2,0,0,1,34,31,6,5.1,0,1,1,5,10,5,1,5,0,2,99,99,0,0,"3",0,"21","0605",999,0,0,"","0"
"AE","112","13","2","1","15",1,17,0,1,2,0,0,3,51,40,12,18.4,0,1,2,5,17,7,1,1,0,1,99,1,0,0,"0",9,"21","0605",999,0,0,"","0"
"AE","115","10","1","1","2",2,17,0,0,0,0,0,6,39,25,8,7.9,1,1,6,3,15,5,1,4,0,1,2,99,8,6,"0",1,"8","0506",999,9,9,"31043131","2"
"AE","121","13","1","1","4",2,12,0,0,0,0,0,6,25,15,4,1.5,0,2,7,0,999,999,0,0,1,1,98,98,0,0,"3",0,"22","0605",999,1,1,"","0"
"AE","134","21","1","1","7",2,13,4,1,1,0,0,1,37,17,4,2.7,0,1,1,5,14,4,1,1,0,1,1,99,1,3,"3",1,"21","06",999,9,9,"","0"
"AE","135","20","1","1","4",2,13,0,0,0,0,0,1,25,20,6,2.7,0,1,1,6,10,5,1,3,0,1,99,99,0,0,"5",9,"21","0605",999,9,4,"","0"
